"access.field","demand.type","access.type","trip.type","time","threshold","before.after","gap","gini.low","gini.mid","gini.high"
"abs.non.mor.33min.before","dep","abs","non","mor","33","before",0.32,"0.69",0.68,0.7
"abs.non.mor.36min.before","dep","abs","non","mor","36","before",0.32,"0.67",0.66,0.67
"abs.non.mor.39min.before","dep","abs","non","mor","39","before",0.32,"0.65",0.64,0.64
"abs.non.mor.42min.before","dep","abs","non","mor","42","before",0.32,"0.63",0.62,0.62
"abs.non.mor.45min.before","dep","abs","non","mor","45","before",0.32,"0.62",0.6,0.59
"abs.non.mor.48min.before","dep","abs","non","mor","48","before",0.32,"0.6",0.58,0.58
"abs.non.mor.51min.before","dep","abs","non","mor","51","before",0.33,"0.58",0.56,0.56
"abs.non.mor.54min.before","dep","abs","non","mor","54","before",0.33,"0.57",0.55,0.54
"abs.non.mor.57min.before","dep","abs","non","mor","57","before",0.33,"0.55",0.53,0.52
"abs.non.mor.60min.before","dep","abs","non","mor","60","before",0.33,"0.53",0.51,0.49
"abs.non.mor.63min.before","dep","abs","non","mor","63","before",0.33,"0.51",0.49,0.47
"abs.non.mor.66min.before","dep","abs","non","mor","66","before",0.33,"0.5",0.47,0.45
"abs.non.mor.69min.before","dep","abs","non","mor","69","before",0.33,"0.48",0.45,0.43
"abs.non.mor.72min.before","dep","abs","non","mor","72","before",0.33,"0.47",0.43,0.41
"abs.non.mor.75min.before","dep","abs","non","mor","75","before",0.33,"0.45",0.41,0.39
"rel.non.mor.1.before","dep","rel","non","mor","1","before",0.49,"1",1,1
"rel.non.mor.1.2.before","dep","rel","non","mor","1.2","before",0.48,"0.99",0.98,0.99
"rel.non.mor.1.4.before","dep","rel","non","mor","1.4","before",0.45,"0.98",0.98,0.97
"rel.non.mor.1.6.before","dep","rel","non","mor","1.6","before",0.4,"0.96",0.95,0.94
"rel.non.mor.1.8.before","dep","rel","non","mor","1.8","before",0.35,"0.94",0.92,0.91
"rel.non.mor.2.before","dep","rel","non","mor","2","before",0.29,"0.87",0.87,0.84
"rel.non.mor.2.2.before","dep","rel","non","mor","2.2","before",0.28,"0.8",0.79,0.74
"rel.non.mor.2.4.before","dep","rel","non","mor","2.4","before",0.29,"0.71",0.68,0.63
"rel.non.mor.2.6.before","dep","rel","non","mor","2.6","before",0.29,"0.62",0.58,0.5
"rel.non.mor.2.8.before","dep","rel","non","mor","2.8","before",0.29,"0.55",0.48,0.39
"rel.non.mor.3.before","dep","rel","non","mor","3","before",0.29,"0.49",0.41,0.31
"abs.com.mor.30min.after","dep","abs","com","mor","30","after",0.39,"0.19",0.19,0.23
"abs.com.mor.33min.after","dep","abs","com","mor","33","after",0.39,"0.18",0.18,0.23
"abs.com.mor.36min.after","dep","abs","com","mor","36","after",0.39,"0.17",0.18,0.22
"abs.com.mor.39min.after","dep","abs","com","mor","39","after",0.39,"0.18",0.18,0.23
"abs.com.mor.42min.after","dep","abs","com","mor","42","after",0.4,"0.17",0.19,0.23
"abs.com.mor.45min.after","dep","abs","com","mor","45","after",0.4,"0.17",0.19,0.24
"abs.com.mor.48min.after","dep","abs","com","mor","48","after",0.41,"0.16",0.19,0.23
"abs.com.mor.51min.after","dep","abs","com","mor","51","after",0.41,"0.15",0.18,0.23
"abs.com.mor.54min.after","dep","abs","com","mor","54","after",0.41,"0.14",0.18,0.22
"abs.com.mor.57min.after","dep","abs","com","mor","57","after",0.4,"0.13",0.18,0.21
"abs.com.mor.60min.after","dep","abs","com","mor","60","after",0.4,"0.13",0.18,0.2
"abs.com.mor.63min.after","dep","abs","com","mor","63","after",0.39,"0.12",0.17,0.19
"abs.com.mor.66min.after","dep","abs","com","mor","66","after",0.39,"0.12",0.16,0.18
"abs.com.mor.69min.after","dep","abs","com","mor","69","after",0.39,"0.11",0.15,0.17
"abs.com.mor.72min.after","dep","abs","com","mor","72","after",0.39,"0.1",0.13,0.15
"abs.com.mor.75min.after","dep","abs","com","mor","75","after",0.39,"0.08",0.12,0.13
"rel.com.mor.1.after","dep","rel","com","mor","1","after",0.39,"0.28",0.3,0.37
"rel.com.mor.1.2.after","dep","rel","com","mor","1.2","after",0.38,"0.22",0.23,0.26
"rel.com.mor.1.4.after","dep","rel","com","mor","1.4","after",0.38,"0.21",0.2,0.23
"rel.com.mor.1.6.after","dep","rel","com","mor","1.6","after",0.38,"0.21",0.2,0.23
"rel.com.mor.1.8.after","dep","rel","com","mor","1.8","after",0.39,"0.18",0.19,0.22
"rel.com.mor.2.after","dep","rel","com","mor","2","after",0.39,"0.14",0.15,0.18
"rel.com.mor.2.2.after","dep","rel","com","mor","2.2","after",0.39,"0.1",0.11,0.12
"rel.com.mor.2.4.after","dep","rel","com","mor","2.4","after",0.39,"0.07",0.08,0.08
"rel.com.mor.2.6.after","dep","rel","com","mor","2.6","after",0.4,"0.05",0.05,0.05
"rel.com.mor.2.8.after","dep","rel","com","mor","2.8","after",0.4,"0.03",0.04,0.04
"rel.com.mor.3.after","dep","rel","com","mor","3","after",0.41,"0.02",0.03,0.03
"abs.non.mor.30min.after","dep","abs","non","mor","30","after",0.37,"0.17",0.18,0.21
"abs.non.mor.33min.after","dep","abs","non","mor","33","after",0.37,"0.17",0.18,0.2
"abs.non.mor.36min.after","dep","abs","non","mor","36","after",0.37,"0.18",0.18,0.2
"abs.non.mor.39min.after","dep","abs","non","mor","39","after",0.37,"0.18",0.19,0.21
"abs.non.mor.42min.after","dep","abs","non","mor","42","after",0.37,"0.18",0.19,0.21
"abs.non.mor.45min.after","dep","abs","non","mor","45","after",0.38,"0.17",0.19,0.21
"abs.non.mor.48min.after","dep","abs","non","mor","48","after",0.38,"0.17",0.19,0.21
"abs.non.mor.51min.after","dep","abs","non","mor","51","after",0.38,"0.16",0.19,0.21
"abs.non.mor.54min.after","dep","abs","non","mor","54","after",0.38,"0.16",0.19,0.21
"abs.non.mor.57min.after","dep","abs","non","mor","57","after",0.37,"0.16",0.19,0.2
"abs.non.mor.60min.after","dep","abs","non","mor","60","after",0.37,"0.16",0.19,0.2
"abs.non.mor.63min.after","dep","abs","non","mor","63","after",0.37,"0.15",0.18,0.19
"abs.non.mor.66min.after","dep","abs","non","mor","66","after",0.37,"0.15",0.17,0.18
"abs.non.mor.69min.after","dep","abs","non","mor","69","after",0.37,"0.14",0.16,0.17
"abs.non.mor.72min.after","dep","abs","non","mor","72","after",0.37,"0.13",0.14,0.15
"abs.non.mor.75min.after","dep","abs","non","mor","75","after",0.37,"0.11",0.13,0.13
"rel.non.mor.1.after","dep","rel","non","mor","1","after",0.38,"0.24",0.29,0.33
"rel.non.mor.1.2.after","dep","rel","non","mor","1.2","after",0.37,"0.18",0.19,0.22
"rel.non.mor.1.4.after","dep","rel","non","mor","1.4","after",0.37,"0.17",0.17,0.19
"rel.non.mor.1.6.after","dep","rel","non","mor","1.6","after",0.37,"0.17",0.18,0.2
"rel.non.mor.1.8.after","dep","rel","non","mor","1.8","after",0.38,"0.16",0.17,0.19
"rel.non.mor.2.after","dep","rel","non","mor","2","after",0.38,"0.13",0.14,0.16
"rel.non.mor.2.2.after","dep","rel","non","mor","2.2","after",0.38,"0.09",0.11,0.12
"rel.non.mor.2.4.after","dep","rel","non","mor","2.4","after",0.38,"0.07",0.08,0.08
"rel.non.mor.2.6.after","dep","rel","non","mor","2.6","after",0.38,"0.05",0.05,0.05
"rel.non.mor.2.8.after","dep","rel","non","mor","2.8","after",0.38,"0.03",0.04,0.04
"rel.non.mor.3.after","dep","rel","non","mor","3","after",0.38,"0.02",0.03,0.03
"abs.com.mor.30min.before","min","abs","com","mor","30","before",0.36,"0.69",0.71,0.74
"abs.com.mor.33min.before","min","abs","com","mor","33","before",0.37,"0.65",0.68,0.72
"abs.com.mor.36min.before","min","abs","com","mor","36","before",0.38,"0.62",0.64,0.68
"abs.com.mor.39min.before","min","abs","com","mor","39","before",0.38,"0.6",0.62,0.66
"abs.com.mor.42min.before","min","abs","com","mor","42","before",0.39,"0.57",0.58,0.65
"abs.com.mor.45min.before","min","abs","com","mor","45","before",0.39,"0.55",0.55,0.63
"abs.com.mor.48min.before","min","abs","com","mor","48","before",0.39,"0.53",0.53,0.62
"abs.com.mor.51min.before","min","abs","com","mor","51","before",0.39,"0.51",0.51,0.62
"abs.com.mor.54min.before","min","abs","com","mor","54","before",0.39,"0.48",0.49,0.61
"abs.com.mor.57min.before","min","abs","com","mor","57","before",0.39,"0.47",0.46,0.6
"abs.com.mor.60min.before","min","abs","com","mor","60","before",0.39,"0.45",0.44,0.58
"abs.com.mor.63min.before","min","abs","com","mor","63","before",0.39,"0.43",0.42,0.56
"abs.com.mor.66min.before","min","abs","com","mor","66","before",0.39,"0.42",0.4,0.54
"abs.com.mor.69min.before","min","abs","com","mor","69","before",0.39,"0.4",0.38,0.53
"abs.com.mor.72min.before","min","abs","com","mor","72","before",0.39,"0.38",0.37,0.51
"abs.com.mor.75min.before","min","abs","com","mor","75","before",0.39,"0.37",0.35,0.49
"rel.com.mor.1.before","min","rel","com","mor","1","before",0.49,"0.99",1,1
"rel.com.mor.1.2.before","min","rel","com","mor","1.2","before",0.49,"0.99",0.99,1
"rel.com.mor.1.4.before","min","rel","com","mor","1.4","before",0.46,"0.98",0.97,0.99
"rel.com.mor.1.6.before","min","rel","com","mor","1.6","before",0.42,"0.96",0.95,0.98
"rel.com.mor.1.8.before","min","rel","com","mor","1.8","before",0.36,"0.93",0.91,0.97
"rel.com.mor.2.before","min","rel","com","mor","2","before",0.31,"0.86",0.85,0.9
"rel.com.mor.2.2.before","min","rel","com","mor","2.2","before",0.31,"0.79",0.77,0.81
"rel.com.mor.2.4.before","min","rel","com","mor","2.4","before",0.32,"0.68",0.65,0.7
"rel.com.mor.2.6.before","min","rel","com","mor","2.6","before",0.32,"0.6",0.54,0.58
"rel.com.mor.2.8.before","min","rel","com","mor","2.8","before",0.32,"0.53",0.45,0.47
"rel.com.mor.3.before","min","rel","com","mor","3","before",0.33,"0.47",0.39,0.39
"abs.non.mor.30min.before","min","abs","non","mor","30","before",0.36,"0.67",0.67,0.68
"abs.non.mor.33min.before","min","abs","non","mor","33","before",0.37,"0.65",0.64,0.66
"abs.non.mor.36min.before","min","abs","non","mor","36","before",0.37,"0.63",0.62,0.63
"abs.non.mor.39min.before","min","abs","non","mor","39","before",0.38,"0.6",0.6,0.61
"abs.non.mor.42min.before","min","abs","non","mor","42","before",0.38,"0.58",0.58,0.59
"abs.non.mor.45min.before","min","abs","non","mor","45","before",0.38,"0.57",0.55,0.57
"abs.non.mor.48min.before","min","abs","non","mor","48","before",0.38,"0.55",0.53,0.57
"abs.non.mor.51min.before","min","abs","non","mor","51","before",0.38,"0.52",0.51,0.57
"abs.non.mor.54min.before","min","abs","non","mor","54","before",0.38,"0.5",0.49,0.56
"abs.non.mor.57min.before","min","abs","non","mor","57","before",0.38,"0.48",0.47,0.55
"abs.non.mor.60min.before","min","abs","non","mor","60","before",0.38,"0.46",0.45,0.54
"abs.non.mor.63min.before","min","abs","non","mor","63","before",0.38,"0.45",0.43,0.53
"abs.non.mor.66min.before","min","abs","non","mor","66","before",0.38,"0.43",0.41,0.51
"abs.non.mor.69min.before","min","abs","non","mor","69","before",0.38,"0.41",0.39,0.5
"abs.non.mor.72min.before","min","abs","non","mor","72","before",0.39,"0.39",0.37,0.49
"abs.non.mor.75min.before","min","abs","non","mor","75","before",0.39,"0.37",0.35,0.47
"rel.non.mor.1.before","min","rel","non","mor","1","before",0.49,"1",0.99,1
"rel.non.mor.1.2.before","min","rel","non","mor","1.2","before",0.48,"0.99",0.99,1
"rel.non.mor.1.4.before","min","rel","non","mor","1.4","before",0.45,"0.97",0.97,0.99
"rel.non.mor.1.6.before","min","rel","non","mor","1.6","before",0.4,"0.94",0.94,0.96
"rel.non.mor.1.8.before","min","rel","non","mor","1.8","before",0.35,"0.91",0.9,0.95
"rel.non.mor.2.before","min","rel","non","mor","2","before",0.31,"0.84",0.84,0.89
"rel.non.mor.2.2.before","min","rel","non","mor","2.2","before",0.32,"0.75",0.76,0.81
"rel.non.mor.2.4.before","min","rel","non","mor","2.4","before",0.33,"0.66",0.64,0.7
"rel.non.mor.2.6.before","min","rel","non","mor","2.6","before",0.33,"0.57",0.52,0.6
"rel.non.mor.2.8.before","min","rel","non","mor","2.8","before",0.33,"0.5",0.43,0.48
"rel.non.mor.3.before","min","rel","non","mor","3","before",0.34,"0.44",0.36,0.39
"abs.com.mor.30min.after","min","abs","com","mor","30","after",0.41,"0.18",0.17,0.22
"abs.com.mor.33min.after","min","abs","com","mor","33","after",0.42,"0.17",0.16,0.21
"abs.com.mor.36min.after","min","abs","com","mor","36","after",0.43,"0.16",0.16,0.2
"abs.com.mor.39min.after","min","abs","com","mor","39","after",0.44,"0.15",0.16,0.2
"abs.com.mor.42min.after","min","abs","com","mor","42","after",0.44,"0.15",0.15,0.2
"abs.com.mor.45min.after","min","abs","com","mor","45","after",0.45,"0.14",0.15,0.21
"abs.com.mor.48min.after","min","abs","com","mor","48","after",0.45,"0.13",0.15,0.21
"abs.com.mor.51min.after","min","abs","com","mor","51","after",0.45,"0.11",0.14,0.21
"abs.com.mor.54min.after","min","abs","com","mor","54","after",0.45,"0.11",0.13,0.21
"abs.com.mor.57min.after","min","abs","com","mor","57","after",0.45,"0.1",0.13,0.21
"abs.com.mor.60min.after","min","abs","com","mor","60","after",0.45,"0.09",0.12,0.21
"abs.com.mor.63min.after","min","abs","com","mor","63","after",0.45,"0.09",0.12,0.21
"abs.com.mor.66min.after","min","abs","com","mor","66","after",0.44,"0.08",0.11,0.2
"abs.com.mor.69min.after","min","abs","com","mor","69","after",0.44,"0.07",0.1,0.19
"abs.com.mor.72min.after","min","abs","com","mor","72","after",0.44,"0.06",0.09,0.18
"abs.com.mor.75min.after","min","abs","com","mor","75","after",0.44,"0.05",0.07,0.16
"rel.com.mor.1.after","min","rel","com","mor","1","after",0.39,"0.26",0.33,0.36
"rel.com.mor.1.2.after","min","rel","com","mor","1.2","after",0.38,"0.21",0.25,0.25
"rel.com.mor.1.4.after","min","rel","com","mor","1.4","after",0.39,"0.19",0.21,0.23
"rel.com.mor.1.6.after","min","rel","com","mor","1.6","after",0.4,"0.18",0.21,0.24
"rel.com.mor.1.8.after","min","rel","com","mor","1.8","after",0.41,"0.16",0.19,0.23
"rel.com.mor.2.after","min","rel","com","mor","2","after",0.4,"0.12",0.15,0.19
"rel.com.mor.2.2.after","min","rel","com","mor","2.2","after",0.4,"0.08",0.11,0.13
"rel.com.mor.2.4.after","min","rel","com","mor","2.4","after",0.4,"0.05",0.08,0.09
"rel.com.mor.2.6.after","min","rel","com","mor","2.6","after",0.39,"0.04",0.06,0.06
"rel.com.mor.2.8.after","min","rel","com","mor","2.8","after",0.4,"0.03",0.04,0.04
"rel.com.mor.3.after","min","rel","com","mor","3","after",0.4,"0.02",0.03,0.03
"abs.non.mor.30min.after","min","abs","non","mor","30","after",0.4,"0.18",0.15,0.18
"abs.non.mor.33min.after","min","abs","non","mor","33","after",0.41,"0.18",0.15,0.17
"abs.non.mor.36min.after","min","abs","non","mor","36","after",0.41,"0.18",0.16,0.17
"abs.non.mor.39min.after","min","abs","non","mor","39","after",0.42,"0.18",0.16,0.17
"abs.non.mor.42min.after","min","abs","non","mor","42","after",0.42,"0.17",0.16,0.18
"abs.non.mor.45min.after","min","abs","non","mor","45","after",0.43,"0.16",0.16,0.19
"abs.non.mor.48min.after","min","abs","non","mor","48","after",0.43,"0.15",0.15,0.19
"abs.non.mor.51min.after","min","abs","non","mor","51","after",0.44,"0.14",0.15,0.19
"abs.non.mor.54min.after","min","abs","non","mor","54","after",0.43,"0.13",0.15,0.2
"abs.non.mor.57min.after","min","abs","non","mor","57","after",0.43,"0.13",0.15,0.2
"abs.non.mor.60min.after","min","abs","non","mor","60","after",0.43,"0.13",0.14,0.2
"abs.non.mor.63min.after","min","abs","non","mor","63","after",0.43,"0.12",0.14,0.21
"abs.non.mor.66min.after","min","abs","non","mor","66","after",0.43,"0.11",0.13,0.2
"abs.non.mor.69min.after","min","abs","non","mor","69","after",0.43,"0.1",0.12,0.2
"abs.non.mor.72min.after","min","abs","non","mor","72","after",0.43,"0.09",0.11,0.18
"abs.non.mor.75min.after","min","abs","non","mor","75","after",0.43,"0.08",0.09,0.17
"rel.non.mor.1.after","min","rel","non","mor","1","after",0.39,"0.24",0.3,0.32
"rel.non.mor.1.2.after","min","rel","non","mor","1.2","after",0.37,"0.18",0.2,0.21
"rel.non.mor.1.4.after","min","rel","non","mor","1.4","after",0.37,"0.17",0.16,0.19
"rel.non.mor.1.6.after","min","rel","non","mor","1.6","after",0.39,"0.16",0.16,0.2
"rel.non.mor.1.8.after","min","rel","non","mor","1.8","after",0.4,"0.15",0.16,0.21
"rel.non.mor.2.after","min","rel","non","mor","2","after",0.39,"0.11",0.13,0.17
"rel.non.mor.2.2.after","min","rel","non","mor","2.2","after",0.38,"0.08",0.1,0.13
"rel.non.mor.2.4.after","min","rel","non","mor","2.4","after",0.39,"0.06",0.07,0.09
"rel.non.mor.2.6.after","min","rel","non","mor","2.6","after",0.38,"0.04",0.05,0.06
"rel.non.mor.2.8.after","min","rel","non","mor","2.8","after",0.38,"0.03",0.04,0.04
"rel.non.mor.3.after","min","rel","non","mor","3","after",0.38,"0.02",0.03,0.03
"abs.com.mor.30min.before","pov","abs","com","mor","30","before",0.32,"0.75",0.74,0.71
"abs.com.mor.33min.before","pov","abs","com","mor","33","before",0.33,"0.71",0.72,0.67
"abs.com.mor.36min.before","pov","abs","com","mor","36","before",0.33,"0.68",0.69,0.63
"abs.com.mor.39min.before","pov","abs","com","mor","39","before",0.34,"0.66",0.66,0.61
"abs.com.mor.42min.before","pov","abs","com","mor","42","before",0.34,"0.64",0.63,0.59
"abs.com.mor.45min.before","pov","abs","com","mor","45","before",0.34,"0.62",0.61,0.58
"abs.com.mor.48min.before","pov","abs","com","mor","48","before",0.35,"0.6",0.59,0.56
"abs.com.mor.51min.before","pov","abs","com","mor","51","before",0.35,"0.58",0.57,0.55
"abs.com.mor.54min.before","pov","abs","com","mor","54","before",0.35,"0.55",0.54,0.53
"abs.com.mor.57min.before","pov","abs","com","mor","57","before",0.35,"0.54",0.53,0.51
"abs.com.mor.60min.before","pov","abs","com","mor","60","before",0.35,"0.53",0.5,0.49
"abs.com.mor.63min.before","pov","abs","com","mor","63","before",0.35,"0.51",0.48,0.47
"abs.com.mor.66min.before","pov","abs","com","mor","66","before",0.35,"0.5",0.46,0.45
"abs.com.mor.69min.before","pov","abs","com","mor","69","before",0.35,"0.49",0.43,0.43
"abs.com.mor.72min.before","pov","abs","com","mor","72","before",0.35,"0.47",0.42,0.42
"abs.com.mor.75min.before","pov","abs","com","mor","75","before",0.35,"0.46",0.4,0.4
"rel.com.mor.1.before","pov","rel","com","mor","1","before",0.49,"0.99",1,1
"rel.com.mor.1.2.before","pov","rel","com","mor","1.2","before",0.49,"0.99",0.99,0.99
"rel.com.mor.1.4.before","pov","rel","com","mor","1.4","before",0.46,"0.98",0.98,0.99
"rel.com.mor.1.6.before","pov","rel","com","mor","1.6","before",0.42,"0.96",0.96,0.97
"rel.com.mor.1.8.before","pov","rel","com","mor","1.8","before",0.36,"0.93",0.93,0.94
"rel.com.mor.2.before","pov","rel","com","mor","2","before",0.3,"0.88",0.87,0.87
"rel.com.mor.2.2.before","pov","rel","com","mor","2.2","before",0.28,"0.82",0.77,0.78
"rel.com.mor.2.4.before","pov","rel","com","mor","2.4","before",0.29,"0.73",0.65,0.66
"rel.com.mor.2.6.before","pov","rel","com","mor","2.6","before",0.29,"0.65",0.54,0.53
"rel.com.mor.2.8.before","pov","rel","com","mor","2.8","before",0.29,"0.59",0.45,0.41
"rel.com.mor.3.before","pov","rel","com","mor","3","before",0.29,"0.54",0.38,0.33
"abs.non.mor.30min.before","pov","abs","non","mor","30","before",0.32,"0.73",0.7,0.66
"abs.non.mor.33min.before","pov","abs","non","mor","33","before",0.33,"0.7",0.67,0.63
"abs.non.mor.36min.before","pov","abs","non","mor","36","before",0.33,"0.69",0.65,0.59
"abs.non.mor.39min.before","pov","abs","non","mor","39","before",0.33,"0.67",0.63,0.57
"abs.non.mor.42min.before","pov","abs","non","mor","42","before",0.34,"0.65",0.61,0.54
"abs.non.mor.45min.before","pov","abs","non","mor","45","before",0.34,"0.63",0.59,0.53
"abs.non.mor.48min.before","pov","abs","non","mor","48","before",0.34,"0.61",0.57,0.52
"abs.non.mor.51min.before","pov","abs","non","mor","51","before",0.34,"0.59",0.55,0.52
"abs.non.mor.54min.before","pov","abs","non","mor","54","before",0.34,"0.57",0.53,0.5
"abs.non.mor.57min.before","pov","abs","non","mor","57","before",0.34,"0.55",0.51,0.49
"abs.non.mor.60min.before","pov","abs","non","mor","60","before",0.34,"0.54",0.49,0.48
"abs.non.mor.63min.before","pov","abs","non","mor","63","before",0.34,"0.52",0.47,0.46
"abs.non.mor.66min.before","pov","abs","non","mor","66","before",0.34,"0.51",0.45,0.44
"abs.non.mor.69min.before","pov","abs","non","mor","69","before",0.34,"0.49",0.42,0.42
"abs.non.mor.72min.before","pov","abs","non","mor","72","before",0.34,"0.48",0.4,0.4
"abs.non.mor.75min.before","pov","abs","non","mor","75","before",0.34,"0.46",0.38,0.39
"rel.non.mor.1.before","pov","rel","non","mor","1","before",0.49,"1",0.99,1
"rel.non.mor.1.2.before","pov","rel","non","mor","1.2","before",0.48,"0.99",0.99,0.99
"rel.non.mor.1.4.before","pov","rel","non","mor","1.4","before",0.45,"0.97",0.98,0.99
"rel.non.mor.1.6.before","pov","rel","non","mor","1.6","before",0.4,"0.95",0.95,0.96
"rel.non.mor.1.8.before","pov","rel","non","mor","1.8","before",0.35,"0.92",0.91,0.93
"rel.non.mor.2.before","pov","rel","non","mor","2","before",0.3,"0.87",0.85,0.87
"rel.non.mor.2.2.before","pov","rel","non","mor","2.2","before",0.29,"0.8",0.76,0.77
"rel.non.mor.2.4.before","pov","rel","non","mor","2.4","before",0.29,"0.71",0.64,0.65
"rel.non.mor.2.6.before","pov","rel","non","mor","2.6","before",0.29,"0.63",0.53,0.53
"rel.non.mor.2.8.before","pov","rel","non","mor","2.8","before",0.3,"0.57",0.43,0.41
"rel.non.mor.3.before","pov","rel","non","mor","3","before",0.3,"0.51",0.36,0.33
"abs.com.mor.30min.after","pov","abs","com","mor","30","after",0.4,"0.18",0.21,0.21
"abs.com.mor.33min.after","pov","abs","com","mor","33","after",0.4,"0.17",0.2,0.21
"abs.com.mor.36min.after","pov","abs","com","mor","36","after",0.4,"0.17",0.2,0.21
"abs.com.mor.39min.after","pov","abs","com","mor","39","after",0.4,"0.17",0.2,0.21
"abs.com.mor.42min.after","pov","abs","com","mor","42","after",0.41,"0.17",0.2,0.22
"abs.com.mor.45min.after","pov","abs","com","mor","45","after",0.41,"0.16",0.2,0.22
"abs.com.mor.48min.after","pov","abs","com","mor","48","after",0.42,"0.15",0.2,0.22
"abs.com.mor.51min.after","pov","abs","com","mor","51","after",0.42,"0.13",0.19,0.22
"abs.com.mor.54min.after","pov","abs","com","mor","54","after",0.42,"0.13",0.18,0.22
"abs.com.mor.57min.after","pov","abs","com","mor","57","after",0.42,"0.12",0.17,0.22
"abs.com.mor.60min.after","pov","abs","com","mor","60","after",0.41,"0.12",0.16,0.21
"abs.com.mor.63min.after","pov","abs","com","mor","63","after",0.41,"0.11",0.15,0.21
"abs.com.mor.66min.after","pov","abs","com","mor","66","after",0.4,"0.11",0.14,0.2
"abs.com.mor.69min.after","pov","abs","com","mor","69","after",0.4,"0.1",0.13,0.19
"abs.com.mor.72min.after","pov","abs","com","mor","72","after",0.4,"0.09",0.11,0.17
"abs.com.mor.75min.after","pov","abs","com","mor","75","after",0.4,"0.08",0.1,0.15
"rel.com.mor.1.after","pov","rel","com","mor","1","after",0.38,"0.28",0.32,0.36
"rel.com.mor.1.2.after","pov","rel","com","mor","1.2","after",0.38,"0.22",0.24,0.26
"rel.com.mor.1.4.after","pov","rel","com","mor","1.4","after",0.38,"0.2",0.21,0.22
"rel.com.mor.1.6.after","pov","rel","com","mor","1.6","after",0.39,"0.19",0.22,0.23
"rel.com.mor.1.8.after","pov","rel","com","mor","1.8","after",0.4,"0.17",0.2,0.22
"rel.com.mor.2.after","pov","rel","com","mor","2","after",0.4,"0.13",0.16,0.17
"rel.com.mor.2.2.after","pov","rel","com","mor","2.2","after",0.4,"0.09",0.12,0.12
"rel.com.mor.2.4.after","pov","rel","com","mor","2.4","after",0.41,"0.06",0.08,0.08
"rel.com.mor.2.6.after","pov","rel","com","mor","2.6","after",0.41,"0.04",0.06,0.05
"rel.com.mor.2.8.after","pov","rel","com","mor","2.8","after",0.41,"0.03",0.04,0.04
"rel.com.mor.3.after","pov","rel","com","mor","3","after",0.42,"0.02",0.03,0.03
"abs.non.mor.30min.after","pov","abs","non","mor","30","after",0.37,"0.19",0.18,0.18
"abs.non.mor.33min.after","pov","abs","non","mor","33","after",0.38,"0.19",0.18,0.17
"abs.non.mor.36min.after","pov","abs","non","mor","36","after",0.38,"0.19",0.18,0.18
